genre,genreno,filename,count,tokens,richness
press_rep,1,ca01,1173,705,0.601023018
press_rep,1,ca02,1254,774,0.61722488
press_rep,1,ca03,1245,678,0.544578313
press_rep,1,ca04,1115,745,0.668161435
press_rep,1,ca05,1133,619,0.546337158
press_rep,1,ca06,1139,695,0.610184372
press_rep,1,ca07,1179,741,0.628498728
press_rep,1,ca08,1111,683,0.614761476
press_rep,1,ca09,1213,754,0.62159934
press_rep,1,ca10,1178,757,0.642614601
press_rep,1,ca11,1242,800,0.644122383
press_rep,1,ca12,1195,682,0.570711297
press_rep,1,ca13,1163,754,0.648323302
press_rep,1,ca14,1172,788,0.672354949
press_rep,1,ca15,1158,750,0.647668394
press_rep,1,ca16,1254,888,0.708133971
press_rep,1,ca17,1222,797,0.652209493
press_rep,1,ca18,1267,753,0.594317285
press_rep,1,ca19,1197,766,0.639933166
press_rep,1,ca20,1220,782,0.640983607
press_rep,1,ca21,1239,794,0.640839387
press_rep,1,ca22,1227,745,0.607171964
press_rep,1,ca23,1264,838,0.662974684
press_rep,1,ca24,1248,809,0.648237179
press_rep,1,ca25,1232,840,0.681818182
press_rep,1,ca26,1207,725,0.6006628
press_rep,1,ca27,1214,801,0.659802306
press_rep,1,ca28,1196,709,0.592809365
press_rep,1,ca29,1201,915,0.761865112
press_rep,1,ca30,1108,769,0.694043321
press_rep,1,ca31,1221,831,0.680589681
press_rep,1,ca32,1110,831,0.748648649
press_rep,1,ca33,1142,749,0.6558669
press_rep,1,ca34,1121,645,0.575379126
press_rep,1,ca35,1018,610,0.599214145
press_rep,1,ca36,1079,742,0.687673772
press_rep,1,ca37,1186,802,0.676222597
press_rep,1,ca38,1074,612,0.569832402
press_rep,1,ca39,1184,727,0.61402027
press_rep,1,ca40,1185,863,0.728270042
press_rep,1,ca41,1082,723,0.668207024
press_rep,1,ca42,1167,792,0.678663239
press_rep,1,ca43,1178,660,0.560271647
press_rep,1,ca44,1098,686,0.624772313
press_ed,1,cb01,1137,816,0.7176781
press_ed,1,cb02,1125,778,0.691555556
press_ed,1,cb03,1017,759,0.746312684
press_ed,1,cb04,1090,825,0.756880734
press_ed,1,cb05,1132,801,0.707597173
press_ed,1,cb06,1151,788,0.684622068
press_ed,1,cb07,1083,762,0.703601108
press_ed,1,cb08,976,624,0.639344262
press_ed,1,cb09,1064,686,0.644736842
press_ed,1,cb10,1001,616,0.615384615
press_ed,1,cb11,1202,852,0.708818636
press_ed,1,cb12,1113,764,0.686433064
press_ed,1,cb13,1099,822,0.747952684
press_ed,1,cb14,1060,745,0.702830189
press_ed,1,cb15,1094,697,0.637111517
press_ed,1,cb16,1097,710,0.64721969
press_ed,1,cb17,1033,691,0.66892546
press_ed,1,cb18,1068,678,0.634831461
press_ed,1,cb19,1059,708,0.668555241
press_ed,1,cb20,1071,798,0.745098039
press_ed,1,cb21,1085,767,0.706912442
press_ed,1,cb22,1113,716,0.643306379
press_ed,1,cb23,1024,729,0.711914063
press_ed,1,cb24,1127,856,0.759538598
press_ed,1,cb25,1073,730,0.680335508
press_ed,1,cb26,1062,753,0.709039548
press_ed,1,cb27,1017,688,0.676499508
press_rev,1,cc01,1172,883,0.753412969
press_rev,1,cc02,1147,822,0.716652136
